question,response
What can be used as collateral to secure the loan?,"Immovable/movable property.
Property rights to funds placed on a deposit account in Pivdenny Bank.
Guarantee from a solvent legal entity.
Guarantee from beneficiary owners."
What can be used as collateral to secure the loan?,"Immovable/movable property.
Property rights to funds placed on a deposit account with Pivdenny Bank.
Goods in circulation as additional collateral."
What can be used as collateral to secure the loan?,"Immovable/movable property.
Property rights to funds placed on a deposit account with Pivdenny Bank.
Transport, agricultural machinery.
Goods in circulation as additional collateral."
What can be used as collateral to secure the loan?,"Property rights to receive cash flows/expected borrower cash flows that are generated as a result of the investment project.
An asset/object created as a result of the investment project.
Special-purpose company corporate rights.
Property rights to funds held on deposit accounts in banks."
What can be used as collateral to secure the loan?,"Purchased fixed assets followed by their use in economic activities.
Immovable/movable property.
Funds in a deposit account with Pivdenny Bank.
Goods in circulation as additional collateral."
What can be used as collateral to secure the loan?,"Purchased fixed assets followed by their use in economic activities.
Immovable/movable property.
Property rights to funds placed on a deposit account with Pivdenny Bank.
Goods in circulation as additional collateral."
What coins does the bank purchase?,It purchases only bullion coins of the National Bank of Ukraine (the Archistratigus Michael).
"What currency will be debited from my card account, if I pay for a product in euros using my UAH payment card?","The amount in EUR will be converted into UAH, applying the exchange rate fixed by the Bank for payment card-based transactions on the day the funds are debited. The funds will be credited from the account in UAH plus the applicable currency conversion fee.
In any case, the funds are debited in the currency, in which your card account is denominated."
What days of the week is the cash collection service available?,All days except for 1 January.
What days of the week is the cash collection service available?,"Every day, except for 1 January."
What do I do if my card is lost?,"If you lose your payment card or it is stolen – contact Customer Support Center of the bank IMMEDIATELY by calling 0 800 30 70 30 (free of charge within Ukraine). After reporting the circumstances surrounding the loss or theft, you will have to provide information enabling us to identify you as the cardholder, i.e. the code word specified in the application for the card issuance; it will also help if you know the card number, your passport details, and the number of your individual taxpayer ID card. This will allow the bank employee to easily and quickly identify the card that needs to be deactivated.
If you are unable to provide the above information in full, the bank employee will ask you several additional questions. After that, the card will be put on the electronic STOP list.
The bank’s client support service phone number is specified on the reverse side of the card. We recommend that you add it to your mobile phone address book.
Using the Pivdenny MyBank system you can block your card online in case of loss or suspicions regarding unauthorised use of your funds.
In case of unforeseen situations or questions regarding transactions with payment cards, you may contact the bank's Customer Support Center 24 hours a day:

in Ukraine, at 0 800 30 70 30 (calls are free of charge all over Ukraine);
from abroad at +380 482 30 70 30 (the call may be billed by the operator);
via Skype - using the contact name pivdenny_bank or from the website <link>
via Pivdenny MyBank system - Personal cabinet - Messages - Create a message;
via the e-mail address 307030@pivdenny.ua;
using the feedback form - refer to the footer on the bank website.

After your call on a branch of the bank we will take steps to manufacture a new card in lieu of the lost one based on your application."
What documents serve to confirm the reason for a S.W.I.F.T.-transfer outside Ukraine?,"agreements (contracts);
invoices;
claim forms, invitations;
letters-settlements or letters-notifications from non-resident legal entities;
letters from attorneys or notaries of foreign states."
What documents should be presented to remit or receive a transfer?,"To send a transfer in an amount below UAH 400,000.00/day (or the equivalent), the sender should provide a passport or another ID. To send a transfer in an amount that exceeds UAH 400,000.00/day (or the equivalent), the sender should provide supporting documents (as defined in the effective regulations of the NBU).
To receive a transfer in an amount below UAH 400,000.00/day (or the equivalent), the recipient should provide a passport. In all other cases, the recipient should provide a passport or another ID, and original proof of the personal taxpayer ID number."
What documents should be provided to send or receive a transfer?,"To send a transfer in an amount below UAH 400,000.00/day (or the equivalent), the sender has to provide a passport or another ID. To send a transfer in an amount over UAH 400,000.00/day (or the equivalent), the sender must provide supporting documents (as defined in the effective regulations of the NBU).To receive a transfer in an amount below UAH 400,000.00/day (or the equivalent), the recipient should provide a passport. In all other cases, the recipient must provide a passport or another ID, and proof of the personal taxpayer ID number."
What documents should be provided to send or receive a transfer?,"To send a transfer in an amount below UAH 400,000.00/day (or the equivalent), the sender should provide a passport or another ID. To send a transfer in an amount over UAH 400,000.00/day (or the equivalent), the sender has to provide supporting documents (as defined in the effective regulations of the NBU).To receive a transfer in an amount below UAH 400,000.00/day (or the equivalent), the recipient must provide a passport. In all other cases, the recipient must provide a passport or another ID, and proof of the personal taxpayer ID number."
What documents should be provided to send or receive a transfer?,"To send a transfer in an amount below UAH 400,000.00/day (or the equivalent), the sender should provide a passport or another ID. To send a transfer in an amount over UAH 400,000.00/day (or the equivalent), the sender should provide supporting documents (as defined in the effective regulations of the NBU).To receive a transfer in an amount below UAH 400,000.00/day (or the equivalent), the recipient should provide a passport. In all other cases, the recipient should provide a passport or another ID, and proof of the personal taxpayer ID number."
What information should be given by a client to send a transfer from Pivdenny Bank?,"The amount and the currency of the transfer.
Select a transfer system.
Country of the recipient of the transfer.
Recipient’s details.
Other information depending on the country of destination and selected transfer system."
What is NFC?,"Near Field (between 3 - 5 cm) Communication technology enables contactless data exchange between mobile phones, smart-cards, payment terminals, access control systems and other devices."
"What is a ""commemorative/jubilee/investment coin""?","Commemorative/jubilee coins are 5-10 times more expensive than their materials. The production price of investment coins is 1-10% more than the cost of its precious metal. The mintage of commemorative coins is limited, whereas investment coin mintage is unlimited."
What is a CVV code?,The CVV (Card Verification Value) code is the code specified on the reverse side of the card after the card number. This code should be used as a supplementary means of card verification.
What is a grace period?,The grace credit period makes it possible to use the credit line virtually free of charge (0.01% per year) during a certain period after making a purchase/payment for services. The duration of the grace credit period is up to 55 days provided that you fully repay your debt on the credit card by the 25th day of the month following the month in which you used the credit funds.
What is a maximum number of salary cards that can be registered under a single salary project?,There is no limit
What is a maximum number of salary cards that can be registered under a single salary project?,There is no limit.
What is a minimum balance?,"The minimum balance is the amount on the card account that cannot be spent. Like the balance of the card account, this amount is interest bearing. You can receive the minimum balance only after you close your card account."
What is a minted bar?,A minted bar is an ingot produced under pressure with high-level equipment. It has the shape of a regular parallelepiped with a smooth inner surface marked with a respective quality certificate.
What is an issuer?,An issuer is a legal entity or an executive/local authority that releases coins into circulation in its own name or in the course of its activity.
What is the cost of opening and having a payment card?,"Pivdenny Bank offers a wide choice of payment cards, starting from special cards, issued free of charge, and ending with premium cards.See detailed information on the applicable bank rates in the “Documents” section."
What is the difference between the credit card and other payment cards?,"You do not have to contribute your own funds to the bank in advance. You can use the bank’s funds and repay the debt at a time and in a manner that is convenient for you. The expenditures of funds from such account are also more convenient to monitor, whereas the credit limit is established on a separate (not salary) Gold or Platinum card."
What is the fee for collecting a transfer at Pivdenny Bank?,"Collection of the transfer in cash – free of charge.
Credit the transfer to a current/card account – free of charge.
Credit the transfer to a card account – free of charge."
What is the fee for collecting a transfer at Pivdenny Bank?,"Receipt of the transfer in cash – free of charge.
Credit the transfer to a current/card account – free of charge.
Credit the transfer to a card account – free of charge."
What is the fee for collecting a transfer at Pivdenny Bank?,"Receipt of the transfer in cash – free of charge.
Remittance of the transfer on a current/card account – free of charge.
Receipt of the transfer from a card account – free of charge."
What is the initial contribution to the purchase of agricultural equipment under the programme?,"The amount of the initial contribution is influenced by several factors such as the state of the equipment being acquired (new or used), and whether the seller is a bank partner or not."
What is the main difference between Tap For Pay and Google Pay?,Tap For Pay is the best solution if you mainly use cards from Pivdenny Bank. This is because you don’t need to add each card separately to the mobile app (as in Google Pay).
What is the maximum duration of the credit limit validity?,Standard duration of the credit limit validity is up to 12 months. The agreement allows its automatic prolongation but for a period no longer than the duration of the term of validity of the client’s card.
What is the minimum deposit amount?,"The minimum deposit amount is UAH 1,000/USD 100/EUR 100."
What is the monthly minimum mandatory payment?,"In the case of a significant outstanding balance, payment must be made by the 25th day of the month following the month during which you used the credit limit.
The amount of this fee is determined as a percentage of the outstanding balance. The outstanding balance is equal to the amount of the used credit limit existing on the first working day of the month.
See details in the ""Documents” section."
What is the procedure for assessing the credit limit?,"The amount of the credit limit depends on the amount of the client’s income and comprises:

up to UAH 100,000 – for the ""Credit card” programme;
up to UAH 200,000 – for the ""Credit card – Premium"" programme."
What is the procedure for assessing the loan amount?,The amount of the loan is determined based on the market value of the car and the amount of the borrower’s income and may not exceed 80 % of the car’s market value. The borrower’s personal income should make it possible to repay the loan and afford basic expenses.
What is the procedure for assessing the loan amount?,The loan amount is assessed based on the client’s category and his/her income. The maximum amount of the loan is UAH 500 000.
What is the procedure for assessing the loan amount?,"The loan amount is assessed based on the market (estimated) value of the mortgaged property acquired by the borrower and his/her income, which should make it possible to repay the loan while affording basic expenses and must not exceed 70 % of the market value of the mortgaged property."
What is the procedure for assessing the loan amount?,The loan amount is determined on the basis of the UAH equivalent of the current deposit applying the foreign exchange rate of the NBU ruling on the day of filing by the client of respective application and may not exceed 80 % of the deposit amount.
What is the procedure for assessing the loan amount?,The maximum loan amount is up to 70 % of the collateral value. The loan amount is assessed based on the market (estimated) value of the mortgaged property and the amount of personal income of the borrower. The amount of personal income should make it possible to repay the loan while being able to afford basic expenses.
What is the procedure for closing a guarantee?,"The guarantee automatically expires at the end of its term of validity.
To close a guarantee in paper form before its expiry:

Submit the original of the guarantee with the beneficiary’s cover letter.
Or a letter from the principal and/or beneficiary advising of the occurrence of events stipulated by the tender documentation triggering termination of the guarantee. Information on the occurrence of the circumstances must be confirmed by ProZorro data.

To close a guarantee in electronic form before its expiry, please:

Provide a letter from the organiser of the biddings on releasing Pivdenny Bank from obligations under the guarantee.
Or a letter from the principal and/or beneficiary advising of the occurrence of events stipulated by the tender documentation triggering termination of the guarantee. Information on the occurrence of the circumstances must be confirmed by ProZorro data."
What is the procedure for extending a deposit?,The current list of bank deposit programmes includes deposits with automatic prolongation. The terms and conditions of the prolongation are specified in the application/agreement on the bank deposit.
What is the procedure for recalling a previously sent transfer?,Visit the branch where the transfer was made and provide supporting documents and respective IDs (passport and receipts).
What is the procedure for transferring my account to another branch?,Visit your current branch and fill in the application to transfer your account/product to another branch at your convenience.
What is the procedure for transferring to another branch?,Visit your current branch and fill out the application for transfer of your account/product to another branch at your convenience.
What is the registration procedure?,"You can connect to Pivdenny MyBank internet banking at any branch of the bank.
Pivdenny Bank cardholders have the option to independently register on the site for entry into the internet banking system and to register in the mobile app Pivdenny MyBank by pressing the ""Registration of new user"" button."
What is the repayment schedule?,As per the individual loan agreement.
What is the repayment schedule?,"Interest is repaid on a monthly basis.
Loan principal: annuity loan — payable in equal monthly instalments; irregular schedule — according to the terms and conditions of the loan agreement."
What is the repayment schedule?,"Interest is repaid on a monthly basis.
Loan principal: annuity loan — payable in equal monthly instalments; irregular schedule — according to the terms and conditions of the loan agreement."
What is the repayment schedule?,Interest is repaid on a monthly basis. Loan principal: annuity loan — payable in equal monthly instalments; irregular schedule — according to the terms and conditions of the loan agreement.
What is the repayment schedule?,"Interest is repaid on a monthly basis. Principal of the loan - according to the signed loan agreement, depends principally on the turnover of the borrower’s working capital."
What is the repayment schedule?,Interest is repaid on a monthly basis. The tranche is repaid in accordance with the terms of the loan agreement.
What is the repayment schedule?,"The interest is paid monthly, the principal – at the end of the term of validity of the limit."
What is the repayment schedule?,The interest is paid monthly. The loan principal: annuity loan — payable in equal monthly instalments; irregular schedule — according to the terms and conditions of the loan agreement.
What items can be used as collateral for bill avalisation?,Standard collateral — cash coverage on a special account in Pivdenny bank. Non-standard security — movable property/equipment and vehicles/goods in turnover/other collateral stipulated by the legislation.
What payment systems does Pivdenny Bank cooperate with?,"Pivdenny Bank is a business partner of VISA, Masterсard and Prostir payment systems. Furthermore, the bank issues cards within the VISA and Masterсard payment systems."
What should I do if I forget my password or if it was blocked by the system?,"If you forget the password for entry into Pivdenny MyBank internet banking, call the Pivdenny Bank Contact centre at 0 800 30 70 30, follow the identification procedure and obtain a temporary password via your mobile phone. Upon entry into the system using the temporary password, immediately choose a new entry password."
What should I do if a card is lost?,"If the payment card is lost, stolen or otherwise unusable, the cardholder should inform the contact centre immediately by calling (0482) 30 70 30 or 0 800 30 70 30 (these numbers are printed on the back of the card), pass the corresponding identification procedure and include the payment card in the electronic stop-list."
What should I do if a card is lost?,"If the payment card is lost, stolen or otherwise unusable, the cardholder should inform the contact centre immediately by calling 0-482-30-70-30 or 0-800-30-70 -30 (these numbers are printed on the back of the card), pass the corresponding identification procedure and include the payment card in the electronic stop-list."
What should I do if points for a purchase have not been accrued?,"All information on accrued and accumulated bonus points is available in the personal cabinet. Points will not accrue for certain transactions (for example, for card-to-card transfers, returned or reimbursed goods, cash withdrawals from cash desks or ATMs, and payments and money transfers via Pivdenny MyBank).
If you believe that you should have received points for a specific transaction, call the Pivdenny Bank Contact centre at 0 800 30 70 30."
What should I do if the amount of points in my personal cabinet does not match my estimates?,Call the Pivdenny Bank Contact centre at 0 800 30 70 30 for explanations and support.
What transactions does the grace period apply to?,"The grace period applies to payment transactions for goods and services using the credit card, including via the internet (excluding settlements via the Pivdenny MyBank system, card-to-card transfers, etc. (see next question))."
What types of payments do I have access to?,"To use Google Pay, install any means of protection on your device such as a PIN, password, graphic key, or fingerprint. You can make payments in 2 modes:

when your phone screen is unlocked (for any amount);
background mode (the phone screen should be switched on). In this mode the payment amount can be not higher than a threshold limit for contactless payment (in Ukraine the limit for VISA cards is UAH 1000, for Mastercard cards – UAH 500)."
What vehicles are used to deliver cash collection services?,Collection of currency is always carried out by armoured car (security class 3).
When can I exchange points for gifts?,"Points can be used for 3 years from the date of accrual. This means that after four years, points accrued after registration in the programme will be cancelled without warning. When you exchange points for gifts, the system will write off the points in the order they are earned."
When do I have to pay commission for changes to the terms and conditions of the collection order service?,The commission for changes to the terms and conditions of the collection order is charged on the day when the changes take effect.
When do I have to repay the loan?,"The loan must be repaid in accordance with the agreed instalment payment schedule. At any rate, each instalment must be repaid by the last business day of the month."
When do I have to repay the loan?,"The loan must be repaid in accordance with the agreed instalments payment schedule. At any rate, each instalment must be repaid by the last business day of the month."
When do I have to repay the loan?,"The loan must be repaid in accordance with the agreed repayment schedule. At any rate, each instalment must be repaid by the last business day of the month."
When does the Bank begin to accrue interest on the credit funds?,The interest will start to accrue from the day of performance of a cash/cashless settlement using the credit card through the day of full repayment of the debt.
When does the bank start to earn interest on the deposit?,"Interest is earned based on the actual balance of the account for each calendar day, starting the day after the funds are credited to the depositor’s account and ending one day before the day on which funds are withdrawn from the depositor’s account.
Based on the interest payment schedule chosen by the depositor, the interest earned on the deposit is paid to the current account of the depositor as per the deposit agreement at maturity. Alternatively, the interest is paid monthly on the first working day of the month after the interest earning period and at maturity of validity of the deposit agreement."
When is the commission resulting from a factoring agreement debited?,The bank charges the commission/fee on the day of document transfer.
When is the commission/fee for the transfer of documents?,The bank charges the commission/fee on the day of document transfer.
When is the fee for changing the terms of the factoring agreement due?,The change fee for the terms of the agreement is charged on the day the changes take effect.
When will the POS terminal be connected to the network?,Within 3 business days from the moment of signing the acquiring agreement.
Where can I get information about money transfer systems?,Visit the branch where the transfer originated or call the Pivdenny Bank Contact centre at 0 800 30 70 30 (free of charge from fixed lines and mobile phones within Ukraine); 0 800 50 32 73 (MoneyGram client support)).
Where can I get information about money transfer systems?,Visit the branch where the transfer was made or call the Pivdenny Bank Contact centre at 0 800 30 70 30 (free of charge from fixed lines and mobile phones within Ukraine).
Where can I get information about money transfer systems?,Visit the branch where the transfer was made or call the Pivdenny Bank Contact centre at 0 800 30 70 30 (free of charge from fixed lines and mobile phones within Ukraine).
Where can I get information about money transfer systems?,Visit the branch where the transfer was made or call the Pivdenny Bank contact centre at 0 800 30 70 30 (free of charge from fixed lines and mobile phones within Ukraine).
Where can I get information about money transfer systems?,Visit the branch where the transfer was made or call the Pivdenny Bank contact centre at 0 800 30 70 30 (free of charge from fixed lines and mobile phones within Ukraine); 0 800 50 32 73 (MoneyGram client support service).
Where can I get information about the amount of the next instalment or balance of the loan?,"We provide an opportunity to review all information on the status of your accounts online using the Pivdenny MyBank system of remote services for individual clients of the bank.
You can get information on the amount of the next instalment on the loan:

personally, at any bank branch;
via the Contact centre of the bank at (0482) 30 70 30 or 0 800 30 70 30;
via Skype from the bank’s page."
Where can I get information about the amount of the next instalment or balance of the loan?,"We provide an opportunity to review complete information on the status of your accounts online using Pivdenny MyBank system of remote services to individual clients of the bank.
You can get information on the amount of the next instalment on the loan:

personally, at any bank branch;
from the Contact centre of the bank at: (0482) 30 70 30 or 0 800 30 70 30 or via Skype."
Where can I get information about the amount of the next instalment or balance of the loan?,"We provide an opportunity to review complete information on the status of your accounts online using Pivdenny MyBank system of remote services to individual clients of the bank.
You can get information on the amount of the next instalment on the loan:

personally, at any bank branch;
from the Contact centre of the bank by calling: (0482) 30 70 30 or 0 800 30 70 30;
via Skype from the bank’s page."
Where can I get information about the amount of the next instalment or balance of the loan?,"We provide an opportunity to review complete information on the status of your accounts online using Pivdenny MyBank system of remote services to individual clients of the bank.
You can get information on the amount of the next instalment on the loan:
- personally, at any bank branch;
- from the Contact centre of the bank by calling: (0482) 30 70 30 or 0 800 30 70 30;
 - via Skype from the bank’s page."
Where can I get information about the amount of the next instalment or balance of the loan?,"We provide an opportunity to review complete information on the status of your accounts online using Pivdenny MyBank system of remote services to individual clients of the bank.
You can obtain information on the amount of the next instalment on the loan:
- personally, at any bank branch;
- from the Contact centre of the bank by calling: (0482) 30 70 30 or 0 800 30 70 30;
 - via Skype from the bank’s page."
Where can I get information about the amount of the next instalment or balance of the loan?,"We provide an opportunity to review complete information on the status of your accounts online using the Pivdenny MyBank system of remote services for individual bank clients.
You can get information on the amount of the next instalment on the loan:
– personally, at any bank branch;
– via the Contact centre of the bank at (0482) 30 70 30 or 0 800 30 70 30;
– via Skype from the bank’s page."
Where can I get information about the amount of the next instalment or balance of the loan?,"We provide an opportunity to review complete information on the status of your accounts online using the Pivdenny MyBank system of remote services for individual bank clients.
You can obtain information on the amount of the next instalment on the loan:

personally, at any bank branch;
Via the Contact centre of the bank at (0482) 30 70 30 or 0 800 30 70 30;
via Skype from the bank’s webpage."
Where can I get information about the detailed terms and conditions of the loan agreement and the real interest rate?,"Under Law of Ukraine No. 1734-VIII ""On consumer lending"" dated 15.11.2016, all information on the product (passport to consumer loans) is available in the ""Documents"" section. The above document outlines real interest rates and other mandatory terms and conditions."
Where can I get information about the detailed terms and conditions of the loan agreement and the real interest rate?,"Under Law of Ukraine No. 1734-VIII ""On consumer lending"" dated 15.11.2016, all information on the product (passport to consumer loans) is available in the ""Documents” section. The above document outlines real interest rates and other mandatory terms and conditions."
Where can I get information about the detailed terms and conditions of the loan agreement and the size of the real interest rate?,"Under Law of Ukraine No. 1734-VIII ""On consumer lending"" dated 15.11.2016, all information on the product (passport to consumer loans) is available in the ""Documents"" section. The above document outlines real interest rates and other mandatory terms and conditions."
"Where can I obtain an official statement of my deposit, for example, to present in a foreign embassy?",You can obtain an official statement on your deposit in any branch of the bank for an issuance fee based on the bank’s fees schedule.
Where can I review my points balance?,"To verify the points balance, go to your personal cabinet."
Where can I review the rates applied for transactions?,"The rates for services and performance of transactions via Pivdenny MyBank internet banking are available for review on the official bank website (go to the ""Documents"" section)."
Which bank branch allows a client to sell a coin/ingot?,"Odessa, Krasnova street, 6/1."
Which cards can I add to Google Pay wallet?,You can add any VISA or Mastercard card from Pivdenny bank to Google Pay wallet.
Which cards can I add to the Tap For Pay wallet?,All your Visa cards are accessible for contactless payments using the mobile Tap For Pay wallet.
Which cars will be involved in cash collection?,Collection of currency assets is only carried out by armored car (security class 3).
Which payment system cards are accepted on the website?,"Visa, Mastercard, their tokens, PROSTIR"
Who is authorised to change limits on transactions and how fast do they go into effect?,"Using the ""Limits and Authorisation"" option, the Client (a user who has access to manage the limit) can change them independently. These settings are valid at once). With an authorised signature, a compliance officer in the bank is authorised to do so, provided that the Client submits a specific application. The application has to specify the user who is the authorized signatory (these settings are changed within one to two business days)."
Who is authorised to change limits on transactions and how quickly do they take effect?,"With respect to ""Limits and authorisation"", the limits are changed by the Client himself (i.e. by the user authorised to manage the limit). The settings take effect immediately. With respect to Right to authorisation signature, the Bank’s compliance officer is authorised to do so, after the Client submits the relevant application, which specifies the user who is the authorized signatory (the settings are changed within one to two business days)."
Who should I call if a card is blocked?,Call the contact centre of Pivdenny Bank at (0482) 30 70 30 or 0 800 30 70 30 (these numbers are printed on the back of the card).
Who should I call if a card is blocked?,Call the contact centre of Pivdenny Bank at 0-482-30-70-30 or 0-800-30-70-30 (these numbers are printed on the back of the card).
Will I have the opportunity to review the promotions valid for the type of the card I am carrying?,"The ""Filter"" feature of the app filters accessible offers based on the type of card. As such, if you have a VISA Infinite or even just a VISA Classic, you will be able to view the promotions and offers relevant for you only."
Will the points accrue if I make payments using credit funds?,"Yes, if your card is eligible for the programme, the points will accrue irrespective of what funds (your own or credit) you use to make payments."
Will this app include all offers from VISA?,"Yes. The app will include all global, regional and local promotions and offers."
